排行 - 股票名稱(代號),排行,證券商名稱,總買量(張),總賣量(張),剩餘量(張)
1 - 富喬(1815),1,元大,59221,54021,5200
1 - 富喬(1815),2,凱基,23739,26389,-2650
1 - 富喬(1815),3,群益,17411,17024,387
1 - 富喬(1815),4,富邦,15051,14735,316
1 - 富喬(1815),5,國泰綜合,14429,12409,2020
1 - 富喬(1815),6,永豐金,12836,13535,-699
1 - 富喬(1815),7,華南永昌,12496,12283,213
1 - 富喬(1815),8,台新,6892,8944,-2052
1 - 富喬(1815),9,元富,7066,6593,473
1 - 富喬(1815),10,兆豐,6513,6427,86
2 - 正德(2641),1,元大,12514,12327,187
2 - 正德(2641),2,凱基,8114,5796,2318
2 - 正德(2641),3,富邦,5439,6416,-977
2 - 正德(2641),4,永豐金,3023,4329,-1306
2 - 正德(2641),5,群益,2432,2385,47
2 - 正德(2641),6,星洲瑞銀,2481,1876,605
2 - 正德(2641),7,兆豐,2551,1640,911
2 - 正德(2641),8,國泰綜合,1611,1918,-307
2 - 正德(2641),9,元富,1638,1791,-153
2 - 正德(2641),10,華南永昌,1437,1699,-262
3 - 高鋒(4510),1,元大,10407,10300,107
3 - 高鋒(4510),2,凱基,4193,3862,331
3 - 高鋒(4510),3,富邦,3475,3591,-116
3 - 高鋒(4510),4,國泰綜合,3238,3352,-114
3 - 高鋒(4510),5,華南永昌,2332,2722,-390
3 - 高鋒(4510),6,永豐金,2553,2496,57
3 - 高鋒(4510),7,群益,2454,2588,-134
3 - 高鋒(4510),8,星洲瑞銀,2116,2022,94
3 - 高鋒(4510),9,台新,1838,1684,154
3 - 高鋒(4510),10,元富,1415,1493,-78
4 - 濱川(1569),1,元大,5660,5722,-62
4 - 濱川(1569),2,凱基,3035,2973,62
4 - 濱川(1569),3,富邦,2460,2023,437
4 - 濱川(1569),4,永豐金,2170,2008,162
4 - 濱川(1569),5,國泰綜合,2014,1741,273
4 - 濱川(1569),6,兆豐,1563,2026,-463
4 - 濱川(1569),7,華南永昌,1505,1274,231
4 - 濱川(1569),8,群益,1466,1310,156
4 - 濱川(1569),9,元富,1552,1105,447
4 - 濱川(1569),10,台新,878,1487,-609
5 - 華星光(4979),1,元大,4994,4521,473
5 - 華星光(4979),2,凱基,2525,3226,-701
5 - 華星光(4979),3,富邦,1920,1764,156
5 - 華星光(4979),4,國泰綜合,1564,1372,192
5 - 華星光(4979),5,群益,1103,1800,-697
5 - 華星光(4979),6,永豐金,1183,1511,-328
5 - 華星光(4979),7,統一,662,1395,-733
5 - 華星光(4979),8,星洲瑞銀,1278,742,536
5 - 華星光(4979),9,元富,808,969,-161
5 - 華星光(4979),10,兆豐,989,719,270
6 - 彬台(3379),1,元大,4404,4419,-15
6 - 彬台(3379),2,群益,1528,1621,-93
6 - 彬台(3379),3,富邦,1566,1502,64
6 - 彬台(3379),4,國泰綜合,1387,1386,1
6 - 彬台(3379),5,永豐金,1212,1378,-166
6 - 彬台(3379),6,凱基,1191,1129,62
6 - 彬台(3379),7,華南永昌,966,928,38
6 - 彬台(3379),8,統一,821,791,30
6 - 彬台(3379),9,元富,774,775,-1
6 - 彬台(3379),10,台新,746,757,-11
7 - 新復興(4909),1,元大,4407,4189,218
7 - 新復興(4909),2,凱基,2390,3038,-648
7 - 新復興(4909),3,國泰綜合,1416,1351,65
7 - 新復興(4909),4,富邦,1290,1256,34
7 - 新復興(4909),5,永豐金,1237,1256,-19
7 - 新復興(4909),6,群益,973,1048,-75
7 - 新復興(4909),7,新光,792,742,50
7 - 新復興(4909),8,台新,896,581,315
7 - 新復興(4909),9,元富,729,674,55
7 - 新復興(4909),10,統一,589,659,-70
8 - 環宇-KY(4991),1,元大,3758,3133,625
8 - 環宇-KY(4991),2,凱基,2451,2739,-288
8 - 環宇-KY(4991),3,國泰綜合,1122,1948,-826
8 - 環宇-KY(4991),4,富邦,1522,1327,195
8 - 環宇-KY(4991),5,元富,618,1561,-943
8 - 環宇-KY(4991),6,永豐金,987,853,134
8 - 環宇-KY(4991),7,群益,820,646,174
8 - 環宇-KY(4991),8,新光,780,684,96
8 - 環宇-KY(4991),9,星洲瑞銀,678,774,-96
8 - 環宇-KY(4991),10,華南永昌,648,616,32
9 - 能率(5392),1,元大,3888,3551,337
9 - 能率(5392),2,凱基,2263,2095,168
9 - 能率(5392),3,富邦,1406,1207,199
9 - 能率(5392),4,永豐金,1035,1199,-164
9 - 能率(5392),5,兆豐,1149,891,258
9 - 能率(5392),6,星洲瑞銀,763,1084,-321
9 - 能率(5392),7,華南永昌,875,951,-76
9 - 能率(5392),8,元富,694,865,-171
9 - 能率(5392),9,群益,792,681,111
9 - 能率(5392),10,國泰綜合,629,699,-70
10 - 合晶(6182),1,摩根士丹利,2672,12953,-10281
10 - 合晶(6182),2,摩根大通,4418,1006,3412
10 - 合晶(6182),3,美商高盛亞,3338,195,3143
10 - 合晶(6182),4,星洲瑞銀,2389,814,1575
10 - 合晶(6182),5,上海匯豐,119,1995,-1876
10 - 合晶(6182),6,美林證券,1425,5,1420
10 - 合晶(6182),7,凱基,903,183,720
10 - 合晶(6182),8,富邦,657,120,537
10 - 合晶(6182),9,花旗環球,747,0,747
10 - 合晶(6182),10,元大,303,420,-117
11 - 新盛力(4931),1,元大,3074,2718,356
11 - 新盛力(4931),2,凱基,2407,1996,411
11 - 新盛力(4931),3,富邦,1201,1581,-380
11 - 新盛力(4931),4,永豐金,1098,1276,-178
11 - 新盛力(4931),5,元富,821,1070,-249
11 - 新盛力(4931),6,國泰綜合,930,886,44
11 - 新盛力(4931),7,華南永昌,687,718,-31
11 - 新盛力(4931),8,群益,614,787,-173
11 - 新盛力(4931),9,統一,571,761,-190
11 - 新盛力(4931),10,台新,575,590,-15
12 - 高技(5439),1,元大,3269,4016,-747
12 - 高技(5439),2,凱基,1067,1625,-558
12 - 高技(5439),3,富邦,976,1400,-424
12 - 高技(5439),4,永豐金,1098,1257,-159
12 - 高技(5439),5,群益,807,1079,-272
12 - 高技(5439),6,星洲瑞銀,808,963,-155
12 - 高技(5439),7,兆豐,881,602,279
12 - 高技(5439),8,國泰綜合,820,647,173
12 - 高技(5439),9,華南永昌,783,609,174
12 - 高技(5439),10,新光,805,555,250
13 - 茂訊(3213),1,元大,2984,3237,-253
13 - 茂訊(3213),2,凱基,1817,2311,-494
13 - 茂訊(3213),3,富邦,1187,1443,-256
13 - 茂訊(3213),4,群益,764,802,-38
13 - 茂訊(3213),5,永豐金,743,655,88
13 - 茂訊(3213),6,華南永昌,612,784,-172
13 - 茂訊(3213),7,星洲瑞銀,719,558,161
13 - 茂訊(3213),8,統一,573,691,-118
13 - 茂訊(3213),9,國泰綜合,548,709,-161
13 - 茂訊(3213),10,新光,385,670,-285
14 - 信立(4303),1,元大,2545,2806,-261
14 - 信立(4303),2,凱基,1891,1767,124
14 - 信立(4303),3,統一,1412,802,610
14 - 信立(4303),4,富邦,933,1011,-78
14 - 信立(4303),5,永豐金,850,976,-126
14 - 信立(4303),6,國泰綜合,781,890,-109
14 - 信立(4303),7,元富,811,477,334
14 - 信立(4303),8,群益,559,675,-116
14 - 信立(4303),9,新光,549,569,-20
14 - 信立(4303),10,華南永昌,448,575,-127
15 - 波若威(3163),1,元大,2669,2982,-313
15 - 波若威(3163),2,凱基,1397,1526,-129
15 - 波若威(3163),3,永豐金,951,1047,-96
15 - 波若威(3163),4,富邦,912,969,-57
15 - 波若威(3163),5,國泰綜合,795,777,18
15 - 波若威(3163),6,群益,809,758,51
15 - 波若威(3163),7,元富,698,786,-88
15 - 波若威(3163),8,星洲瑞銀,737,632,105
15 - 波若威(3163),9,統一,472,469,3
15 - 波若威(3163),10,華南永昌,465,397,68
16 - 順達(3211),1,凱基,1111,3475,-2364
16 - 順達(3211),2,永豐金,2282,1705,577
16 - 順達(3211),3,元大,2012,1418,594
16 - 順達(3211),4,摩根士丹利,1316,655,661
16 - 順達(3211),5,富邦,836,686,150
16 - 順達(3211),6,群益,729,507,222
16 - 順達(3211),7,國票,533,492,41
16 - 順達(3211),8,美林證券,518,319,199
16 - 順達(3211),9,台新,424,389,35
16 - 順達(3211),10,國泰綜合,453,345,108
17 - 欣銓(3264),1,凱基,2094,2650,-556
17 - 欣銓(3264),2,元大,1778,2078,-300
17 - 欣銓(3264),3,永豐金,982,420,562
17 - 欣銓(3264),4,華南永昌,323,839,-516
17 - 欣銓(3264),5,富邦,563,560,3
17 - 欣銓(3264),6,玉山證券,873,238,635
17 - 欣銓(3264),7,元富,789,318,471
17 - 欣銓(3264),8,台新,808,227,581
17 - 欣銓(3264),9,群益,514,486,28
17 - 欣銓(3264),10,摩根士丹利,489,473,16
18 - 世界(5347),1,摩根士丹利,2126,687,1439
18 - 世界(5347),2,美林證券,859,1736,-877
18 - 世界(5347),3,星洲瑞銀,878,1428,-550
18 - 世界(5347),4,元大,800,1057,-257
18 - 世界(5347),5,美商高盛亞,1454,303,1151
18 - 世界(5347),6,富邦,665,660,5
18 - 世界(5347),7,凱基,429,774,-345
18 - 世界(5347),8,摩根大通,558,638,-80
18 - 世界(5347),9,花旗環球,18,1006,-988
18 - 世界(5347),10,上海匯豐,463,471,-8
19 - 驊宏資(6148),1,元大,2654,2572,82
19 - 驊宏資(6148),2,凱基,844,797,47
19 - 驊宏資(6148),3,富邦,827,795,32
19 - 驊宏資(6148),4,永豐金,764,745,19
19 - 驊宏資(6148),5,群益,606,664,-58
19 - 驊宏資(6148),6,國泰綜合,671,584,87
19 - 驊宏資(6148),7,華南永昌,575,454,121
19 - 驊宏資(6148),8,台新,457,520,-63
19 - 驊宏資(6148),9,元富,332,591,-259
19 - 驊宏資(6148),10,統一,286,440,-154
20 - 僑威(3078),1,元大,1542,1690,-148
20 - 僑威(3078),2,凱基,1320,1627,-307
20 - 僑威(3078),3,富邦,691,825,-134
20 - 僑威(3078),4,永豐金,659,587,72
20 - 僑威(3078),5,群益,538,446,92
20 - 僑威(3078),6,華南永昌,340,484,-144
20 - 僑威(3078),7,國泰綜合,468,309,159
20 - 僑威(3078),8,新光,445,331,114
20 - 僑威(3078),9,統一,262,404,-142
20 - 僑威(3078),10,兆豐,258,404,-146
21 - 健喬(4114),1,摩根士丹利,980,5417,-4437
21 - 健喬(4114),2,摩根大通,1746,103,1643
21 - 健喬(4114),3,星洲瑞銀,1109,173,936
21 - 健喬(4114),4,上海匯豐,57,1212,-1155
21 - 健喬(4114),5,元大,928,313,615
21 - 健喬(4114),6,美商高盛亞,990,143,847
21 - 健喬(4114),7,凱基,477,370,107
21 - 健喬(4114),8,中國信託證,748,27,721
21 - 健喬(4114),9,台新,386,102,284
21 - 健喬(4114),10,國泰綜合,84,399,-315
22 - 能率網通(8071),1,凱基,1930,1505,425
22 - 能率網通(8071),2,元大,1223,1111,112
22 - 能率網通(8071),3,富邦,914,1175,-261
22 - 能率網通(8071),4,華南永昌,846,574,272
22 - 能率網通(8071),5,星洲瑞銀,369,392,-23
22 - 能率網通(8071),6,統一,447,193,254
22 - 能率網通(8071),7,永豐金,310,325,-15
22 - 能率網通(8071),8,國泰綜合,263,316,-53
22 - 能率網通(8071),9,群益,317,238,79
22 - 能率網通(8071),10,兆豐,209,307,-98
23 - 聯亞(3081),1,元大,2246,1672,574
23 - 聯亞(3081),2,凱基,578,697,-119
23 - 聯亞(3081),3,富邦,645,614,31
23 - 聯亞(3081),4,永豐金,642,566,76
23 - 聯亞(3081),5,群益,565,474,91
23 - 聯亞(3081),6,星洲瑞銀,198,763,-565
23 - 聯亞(3081),7,統一,397,375,22
23 - 聯亞(3081),8,華南永昌,324,445,-121
23 - 聯亞(3081),9,美林證券,439,295,144
23 - 聯亞(3081),10,國泰綜合,413,212,201
24 - 金居(8358),1,摩根士丹利,1089,5428,-4339
24 - 金居(8358),2,摩根大通,1118,348,770
24 - 金居(8358),3,美商高盛亞,1311,48,1263
24 - 金居(8358),4,星洲瑞銀,847,251,596
24 - 金居(8358),5,凱基,721,348,373
24 - 金居(8358),6,上海匯豐,69,991,-922
24 - 金居(8358),7,元大,516,226,290
24 - 金居(8358),8,美林證券,504,29,475
24 - 金居(8358),9,統一,379,40,339
24 - 金居(8358),10,富邦,247,166,81
25 - 中探針(6217),1,統一,2311,146,2165
25 - 中探針(6217),2,宏遠,67,2280,-2213
25 - 中探針(6217),3,元大,1457,758,699
25 - 中探針(6217),4,凱基,618,973,-355
25 - 中探針(6217),5,永豐金,474,225,249
25 - 中探針(6217),6,兆豐,213,460,-247
25 - 中探針(6217),7,台新,138,510,-372
25 - 中探針(6217),8,富邦,409,236,173
25 - 中探針(6217),9,國票,150,464,-314
25 - 中探針(6217),10,星洲瑞銀,290,272,18
26 - 國統(8936),1,摩根士丹利,799,4052,-3253
26 - 國統(8936),2,摩根大通,1431,234,1197
26 - 國統(8936),3,美商高盛亞,1116,77,1039
26 - 國統(8936),4,凱基,766,297,469
26 - 國統(8936),5,元大,584,442,142
26 - 國統(8936),6,上海匯豐,28,942,-914
26 - 國統(8936),7,星洲瑞銀,804,160,644
26 - 國統(8936),8,華南永昌,154,556,-402
26 - 國統(8936),9,富邦,191,276,-85
26 - 國統(8936),10,永豐金,236,150,86
27 - 台燿(6274),1,元大,778,1395,-617
27 - 台燿(6274),2,凱基,660,615,45
27 - 台燿(6274),3,摩根士丹利,807,350,457
27 - 台燿(6274),4,永豐金,391,704,-313
27 - 台燿(6274),5,星洲瑞銀,466,511,-45
27 - 台燿(6274),6,摩根大通,821,73,748
27 - 台燿(6274),7,富邦,322,418,-96
27 - 台燿(6274),8,統一,382,231,151
27 - 台燿(6274),9,美商高盛亞,515,63,452
27 - 台燿(6274),10,美林證券,134,421,-287
28 - 鈺創(5351),1,摩根士丹利,1475,4513,-3038
28 - 鈺創(5351),2,摩根大通,1339,422,917
28 - 鈺創(5351),3,美商高盛亞,1634,42,1592
28 - 鈺創(5351),4,星洲瑞銀,1128,293,835
28 - 鈺創(5351),5,上海匯豐,98,1091,-993
28 - 鈺創(5351),6,美林證券,314,288,26
28 - 鈺創(5351),7,元大,204,194,10
28 - 鈺創(5351),8,花旗環球,378,0,378
28 - 鈺創(5351),9,凱基,184,145,39
28 - 鈺創(5351),10,元富,132,42,90
29 - 台半(5425),1,摩根士丹利,1371,5151,-3780
29 - 台半(5425),2,摩根大通,1431,332,1099
29 - 台半(5425),3,美商高盛亞,1306,33,1273
29 - 台半(5425),4,星洲瑞銀,977,273,704
29 - 台半(5425),5,上海匯豐,29,764,-735
29 - 台半(5425),6,美林證券,505,0,505
29 - 台半(5425),7,統一,419,37,382
29 - 台半(5425),8,凱基,197,23,174
29 - 台半(5425),9,元大,140,53,87
29 - 台半(5425),10,台新,120,5,115
30 - 台特化(4772),1,元大,1181,1230,-49
30 - 台特化(4772),2,凱基,945,920,25
30 - 台特化(4772),3,富邦,746,742,4
30 - 台特化(4772),4,國泰綜合,367,443,-76
30 - 台特化(4772),5,永豐金,348,355,-7
30 - 台特化(4772),6,星洲瑞銀,323,285,38
30 - 台特化(4772),7,台新,339,225,114
30 - 台特化(4772),8,統一,226,255,-29
30 - 台特化(4772),9,元富,249,222,27
30 - 台特化(4772),10,群益,211,255,-44
